Ingredients,Description,Allergies,Verified From
Glutamic Acid,"Amino acid, often used as a flavor enhancer (MSG).",[],https://www.who.int/teams/nutrition-and-food-safety
Citral,Citrus-scented compound used as a flavoring agent.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Linalool,"Floral-scented compound, used as a fragrance and flavor.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Methylcellulose,"Derived from cellulose, used as a thickener and emulsifier.",[],https://www.who.int/teams/nutrition-and-food-safety
Malt Extract,"Extracted from barley, used for its sweetness and color.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
High Maltose Corn Syrup,"Syrup containing high levels of maltose, used as a sweetener.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Isomalt,"Sugar substitute made from beets, used in sugar-free products.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Inulin,Prebiotic fiber used to aid digestion and as a sugar substitute.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Natural Tocopherols ,"Antioxidants found in vegetable oils, used to preserve food.",[],https://www.who.int/teams/nutrition-and-food-safety
Nicotine,A highly addictive chemical found in tobacco.,"[""Heart Problems"", ""Cancer""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tar,"A toxic substance in tobacco smoke, contributing to cancer and lung disease.","[""Cancer""]",https://www.who.int/teams/nutrition-and-food-safety
Acetone,Found in tobacco smoke and is a solvent in some cosmetic products.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ammonia,Used in tobacco products to enhance nicotine delivery.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Formaldehyde,A carcinogen used in tobacco and pan masala products.,"[""Cancer""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Carbon Monoxide,A harmful gas produced from burning tobacco and pan masala.,"[""Heart Problems""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Acetaldehyde,A chemical in tobacco smoke and pan masala linked to cancer and addiction.,"[""Cancer"", ""Heart Problems""]",https://www.who.int/teams/nutrition-and-food-safety
Ethanol (Alcohol),"The intoxicating compound in alcoholic beverages, can affect brain function.","[""Heart Problems"", ""Diabetes""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tannins,"Astringent compounds found in alcohol and pan masala, can cause irritation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sugar,Often used in alcoholic beverages to enhance taste.,"[""Diabetes""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Caramel,"Coloring agents used in alcoholic beverages, especially in liquors.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Caffeine,Found in some alcohol mixtures like caffeinated beers and drinks.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Betel Leaves,"Main ingredient in pan masala, with stimulant effects.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Areca Nut,"The main stimulant in pan masala, linked to mouth and throat cancers.","[""Cancer""]",https://www.who.int/teams/nutrition-and-food-safety
Slaked Lime,Often used in pan masala to enhance the effects of other ingredients.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cardamom,"A flavoring in pan masala, often used for its digestive properties.",[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Cloves,Spices used in pan masala for their aromatic properties.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Menthol,Often used in cigarettes and pan masala for its cooling effect.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Nitrite,Used as a preservative in processed tobacco products and in some alcoholic beverages.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Propylene Glycol,A humectant used in some cigarette brands and alcoholic drinks.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Benzene,"Found in tobacco smoke, linked to cancer and respiratory issues.","[""Cancer""]",https://www.who.int/teams/nutrition-and-food-safety
Hydrogen Cyanide,A toxic compound found in cigarette smoke.,"[""Heart Problems"", ""Cancer""]",https://www.who.int/teams/nutrition-and-food-safety
Maltodextrin,Often used in alcohol and pan masala as a filler or stabilizer.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Glycerin,"Used in some alcohol and cigarette products, can cause respiratory issues.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Chloride,"Commonly known as salt, used in processed pan masala and in alcohol drinks.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sodium Benzoate,Preservative used in pan masala and alcoholic drinks.,[],https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Sulphur Dioxide,Used in alcoholic beverages to prevent oxidation.,"[""Sulphite Sensitivity""]",https://www.efsa.europa.eu/en/science/scientific-committee-and-panels/nda
Tobacco,The plant used to create cigarettes and other products.,"[""Cancer"", ""Heart Problems""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Amaranth,"Rich in protein, fiber, and essential minerals. Helps in muscle growth and improves digestive health.","[""Gluten"", ""Soy""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Asparagus,"High in fiber, vitamins A, C, and K, and folate. Promotes digestive health and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Capers,Low in calories and rich in antioxidants. Can help improve liver function and reduce blood sugar levels.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chervil,"Contains vitamins A and C, and antioxidants. Supports immune system function and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Coriander,"High in antioxidants and vitamins. Helps with digestion, reduces inflammation, and supports heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Edamame,"Packed with protein, fiber, and antioxidants. Supports muscle health and boosts the immune system.","[""Soy""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Garbanzo Beans,"High in protein and fiber. Helps with weight management, improves digestive health, and lowers cholesterol.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Guava,"Rich in vitamin C and antioxidants. Boosts immunity, aids digestion, and improves skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Jalapenos,"High in vitamin C and capsaicin. Can boost metabolism, reduce pain, and improve heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kiwifruit,"High in vitamin C, fiber, and antioxidants. Aids digestion, supports immune function, and improves skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Mahi Mahi,Low in fat and high in protein. Supports muscle growth and provides heart-healthy omega-3 fatty acids.,"[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Nutmeg,Contains antioxidants and anti-inflammatory compounds. Supports digestion and can improve sleep quality.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Peaches,"High in vitamins A and C, fiber, and antioxidants. Supports skin health, digestion, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pomegranate,"Rich in antioxidants, vitamins C and K. Improves heart health, reduces inflammation, and boosts immunity.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Rhubarb,High in fiber and antioxidants. Supports digestive health and may reduce the risk of certain diseases.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Savory,Contains antioxidants and essential minerals. Supports digestive health and reduces inflammation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Swiss Chard,"High in vitamins A, C, and K, and antioxidants. Supports eye health, reduces inflammation, and promotes bone health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Turnips,"Low in calories and rich in fiber and vitamin C. Supports weight loss, digestion, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Zucchini,"High in vitamins A and C, and antioxidants. Promotes hydration, supports digestion, and helps in weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chestnuts,"Rich in carbohydrates, fiber, and antioxidants. Supports heart health and provides sustained energy.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Dandelion Greens,"High in vitamins A, C, and K, and antioxidants. Supports liver function, digestive health, and immune system.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Goji Berries,"Packed with antioxidants, vitamins C and A. Improves immune function, skin health, and eye health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kohlrabi,"High in vitamin C and fiber. Supports digestion, promotes heart health, and boosts immunity.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Passion Fruit,"Rich in vitamin C, fiber, and antioxidants. Helps improve digestion and supports immune health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Rutabaga,"High in fiber, vitamin C, and antioxidants. Supports digestive health, boosts immunity, and promotes heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tamarind,"Rich in antioxidants, vitamin C, and magnesium. Supports digestive health, aids in detoxification, and boosts immunity.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Trout,"A type of fish, rich in omega-3 fatty acids and protein. Supports heart health, brain function, and muscle growth.","[""Fish""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Wild Rice,"High in fiber, antioxidants, and minerals. Supports digestive health, boosts energy levels, and improves heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Arrowroot,"A starchy root vegetable. Easily digestible, often used to treat digestive issues.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Basil,"High in antioxidants, vitamins A and K. Supports immune health, reduces inflammation, and improves digestion.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cashews,"Rich in healthy fats, protein, and vitamins. Supports heart health, bone health, and boosts energy.","[""Tree Nut""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Cilantro,"Contains vitamins A, C, and K, and antioxidants. Supports digestion, detoxifies the body, and improves heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cornmeal,"Made from ground corn, rich in carbohydrates and fiber. Supports energy levels and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Endive,"A leafy green vegetable, high in fiber and vitamins A and K. Supports digestive health and provides antioxidants.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Garam Masala,A blend of spices commonly used in Indian cuisine. Contains antioxidants and supports digestion.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Halibut,"A type of fish, rich in omega-3 fatty acids and protein. Supports muscle growth, heart health, and brain function.","[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kale,"High in vitamins A, C, and K, fiber, and antioxidants. Supports immune health, bone health, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Leeks,"A type of vegetable rich in vitamins A, C, and K. Supports digestive health and reduces the risk of chronic diseases.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Miso,A fermented paste made from soybeans. Rich in probiotics and antioxidants. Supports digestive health and boosts immunity.,"[""Soy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Okra,"High in fiber and antioxidants. Supports digestion, heart health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pears,Rich in dietary fiber and vitamin C. Supports digestive health and immune function.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Radicchio,"Contains fiber, antioxidants, and vitamin K. Supports digestion and helps reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Rosemary,High in antioxidants and anti-inflammatory properties. Supports digestion and boosts memory.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Shallots,"Rich in antioxidants and vitamin C. Supports immune health, heart health, and digestion.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tilapia,"A type of fish, low in fat and high in protein. Supports muscle growth and heart health.","[""Fish""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Vanilla Bean,Contains antioxidants and essential oils. Supports digestive health and has anti-inflammatory properties.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Adzuki Beans,"High in protein, fiber, and antioxidants. Supports digestion, boosts energy, and reduces cholesterol.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chili Powder,"Contains antioxidants and capsaicin. Supports metabolism, boosts immune function, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Dates,"High in fiber, vitamins, and minerals. Supports digestive health, energy levels, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Horseradish,Contains antioxidants and anti-inflammatory compounds. Supports digestion and boosts immunity.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lima Beans,"High in fiber, protein, and essential vitamins. Supports digestive health, heart health, and weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Pepitas,"Rich in magnesium, zinc, and healthy fats. Supports heart health, bone health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Salsify,A root vegetable high in fiber and antioxidants. Supports digestive health and boosts immunity.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Taro,High in fiber and essential nutrients. Supports digestive health and helps regulate blood sugar levels.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Wasabi,Contains antioxidants and has anti-inflammatory properties. Supports digestion and boosts metabolism.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Yams,"Rich in fiber, vitamins A and C. Supports digestive health, boosts immune function, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Artichokes,"High in fiber and antioxidants. Supports liver health, digestion, and reduces cholesterol.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Bok Choy,"Rich in vitamins A, C, and K. Supports immune health, bone health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Celery,"High in vitamins A, K, and C, and fiber. Supports digestive health, reduces inflammation, and improves hydration.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Cocoa Butter,Contains antioxidants and healthy fats. Supports skin health and reduces inflammation.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Couscous,"Made from semolina wheat, a good source of carbohydrates and fiber. Supports energy levels and digestive health.","[""Gluten""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Fennel,"Contains antioxidants, fiber, and vitamin C. Supports digestion, reduces inflammation, and promotes heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Goat Cheese,"Rich in protein, calcium, and healthy fats. Supports bone health and provides probiotics for gut health.","[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Harissa,A spicy North African chili paste. Contains antioxidants and supports digestion and metabolism.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kefir,"A fermented dairy product rich in probiotics. Supports gut health, digestion, and boosts immunity.","[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lemongrass,"Contains antioxidants and essential oils. Supports digestion, reduces inflammation, and improves skin health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Mustard Greens,"Rich in vitamins A, C, and K. Supports digestive health, reduces inflammation, and boosts immunity.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Parmesan Cheese,A hard cheese high in protein and calcium. Supports bone health and provides probiotics for gut health.,"[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Peppermint,"Contains menthol, which aids digestion and has anti-inflammatory properties. Boosts mental clarity and soothes headaches.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Radishes,"High in fiber and vitamin C. Supports digestive health, boosts immunity, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Saffron,Contains antioxidants and compounds that improve mood and promote heart health.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Snow Peas,"High in vitamins A, C, and K. Supports immune health, digestion, and bone health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tomatillos,"Rich in vitamins C and K, and antioxidants. Supports immune health, digestion, and heart health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Watercress,"High in vitamins A, C, and K, and antioxidants. Supports immune function, bone health, and digestion.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Bulgur,"A whole grain rich in fiber, vitamins, and minerals. Supports digestion and heart health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Cranberries,"Rich in antioxidants and vitamin C. Supports immune health, heart health, and urinary tract health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Elderberries,Contain antioxidants and vitamins A and C. Support immune function and reduce inflammation.,[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Jicama,"High in fiber, vitamin C, and antioxidants. Supports digestive health, immune function, and blood sugar regulation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Mulberries,"Rich in vitamins C and K, and antioxidants. Supports immune health, digestion, and heart health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Plums,"Contain antioxidants and vitamin C. Support immune function, digestive health, and improve skin health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Seaweed,"High in iodine, calcium, and antioxidants. Supports thyroid function, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Teff,"A gluten-free grain rich in protein, fiber, and iron. Supports digestion, energy levels, and bone health.","[""Gluten""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Whey,"A protein-rich dairy product. Supports muscle growth, immune health, and recovery.","[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Yucca,"A starchy root vegetable. High in fiber and antioxidants. Supports digestion, reduces inflammation, and boosts energy.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Arugula,"Rich in vitamins A, C, and K, and antioxidants. Supports immune health, bone health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Brussels Sprouts,"High in fiber, vitamin C, and antioxidants. Supports digestive health, immune health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cheddar Cheese,"High in protein, calcium, and healthy fats. Supports bone health and gut health.","[""Dairy""]",https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Collard Greens,"Rich in vitamins A, C, and K. Supports immune health, bone health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cream Cheese,A dairy product rich in fat and protein. Supports gut health and provides energy.,"[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Fontina Cheese,A semi-soft cheese rich in calcium and protein. Supports bone health and provides probiotics for gut health.,"[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Green Beans,"High in fiber, vitamins A, C, and K. Supports immune health, heart health, and digestion.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Hemp Seeds,"Rich in protein, healthy fats, and minerals. Support heart health, muscle growth, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kelp,"High in iodine, calcium, and antioxidants. Supports thyroid health, digestion, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lychee,"High in vitamin C, antioxidants, and fiber. Supports immune function, digestion, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Navy Beans,"High in fiber, protein, and minerals. Support digestive health, heart health, and weight management.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Parsley,"Rich in vitamins A, C, and K, and antioxidants. Supports immune health, digestion, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Persimmons,"Rich in fiber, vitamins A and C, and antioxidants. Support digestive health, immune function, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Raspberries,"High in fiber, antioxidants, and vitamin C. Support immune health, heart health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sage,"Contains antioxidants, vitamins, and essential oils. Supports digestion, reduces inflammation, and improves cognitive function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sorrel,"High in vitamin C and antioxidants. Supports immune health, digestion, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Turmeric,"Contains curcumin, an anti-inflammatory compound. Supports joint health, digestion, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Watermelon,"Rich in vitamins A and C. Supports hydration, heart health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Caraway Seeds,"Contains antioxidants and fiber. Supports digestion, reduces inflammation, and improves gut health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cucumber,"High in water content and vitamin K. Supports hydration, skin health, and digestive health.",[],https://www.data.gov.uk/dataset/d3586c23-ccd7-4c66-b21b-5d996f152015/allergy-alerts
Fenugreek,"Rich in fiber, protein, and antioxidants. Supports blood sugar regulation, digestion, and lactation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kasha,"A grain rich in protein, fiber, and antioxidants. Supports heart health, digestion, and weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Nori,"A type of seaweed rich in iodine, calcium, and antioxidants. Supports thyroid health, immune function, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Quail Eggs,"High in protein, vitamins, and healthy fats. Supports muscle growth, immune health, and brain function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Spaghetti Squash,"Low in calories and high in fiber. Supports digestive health, weight management, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Tempeh,"A fermented soy product rich in protein and probiotics. Supports muscle growth, gut health, and immune function.","[""Soy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
White Beans,"High in fiber, protein, and minerals. Support digestive health, heart health, and weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Zaatar,A blend of herbs and spices. Contains antioxidants and has anti-inflammatory properties. Supports digestion and immune function.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Acai Berries,"High in antioxidants, fiber, and vitamin C. Support immune health, skin health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Anchovies,A small fish high in omega-3 fatty acids and protein. Supports heart health and muscle growth.,"[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Bamboo Shoots,"Low in calories and high in fiber. Supports digestion, immune health, and weight management.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Beet Greens,"Rich in vitamins A, C, and K. Support immune health, bone health, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Blood Oranges,"High in vitamin C and antioxidants. Support immune health, skin health, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Canary Melon,"High in vitamin C and antioxidants. Supports hydration, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Cassava Flour,A gluten-free flour rich in carbohydrates. Supports energy levels and digestive health.,"[""Gluten""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Chinese Five Spice,A blend of spices with antioxidant properties. Supports digestion and improves metabolism.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Coffee Beans,"Rich in caffeine and antioxidants. Supports mental clarity, energy levels, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Curry Leaves,Contain antioxidants and have anti-inflammatory properties. Support digestion and boost immunity.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Dragon Fruit,"High in vitamin C, antioxidants, and fiber. Supports immune health, digestion, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Emmer Wheat,A type of ancient wheat high in fiber and protein. Supports digestive health and energy levels.,"[""Gluten""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Galangal,A root with anti-inflammatory properties. Supports digestion and boosts metabolism.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Gooseberries,"Rich in antioxidants and vitamin C. Support immune health, skin health, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Herring,"A type of fish high in omega-3 fatty acids and protein. Supports heart health, brain function, and joint health.","[""Fish""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Jerusalem Artichokes,"High in fiber and antioxidants. Support digestion, immune health, and reduce inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Kumquat,"High in vitamin C and antioxidants. Supports immune health, skin health, and digestive health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Lotus Root,"Rich in fiber, vitamins, and antioxidants. Supports digestion, immune health, and skin health.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Manchego Cheese,A Spanish cheese high in protein and calcium. Supports bone health and muscle growth.,"[""Dairy""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Monk Fruit,A natural sweetener with zero calories. Supports blood sugar regulation and provides antioxidants.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Nigella Seeds,Contains antioxidants and has anti-inflammatory properties. Supports digestion and reduces inflammation.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Peppermint Oil,"Contains menthol, which has soothing and digestive properties. Supports digestion and reduces headaches.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Plantains,"High in fiber, potassium, and vitamin C. Supports digestive health, heart health, and immune function.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Purslane,"Rich in omega-3 fatty acids and antioxidants. Supports heart health, skin health, and reduces inflammation.",[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Ras El Hanout,A blend of spices with antioxidant and anti-inflammatory properties. Supports digestion and metabolism.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Roasted Barley,High in fiber and B vitamins. Supports digestive health and energy levels.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Sesame Flour,A gluten-free flour rich in fiber and healthy fats. Supports digestion and reduces inflammation.,"[""Sesame""]",https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Smoked Salt,Adds flavor and contains trace minerals. Supports hydration and electrolyte balance.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
Star Anise,Contains antioxidants and has anti-inflammatory properties. Supports digestion and immune health.,[],https://www.fda.gov/food/nutrition-food-labeling-and-critical-foods
